date,days,rate
2008-09-19,61.0,3.408873
2008-09-16,7.0,3.927599
2008-09-16,14.0,3.672881
2008-09-16,29.0,2.838118
2008-09-16,64.0,2.947013
2008-09-16,92.0,2.965507
2008-09-17,7.0,4.427579
2008-09-17,14.0,4.039698
2008-09-17,28.0,3.189654
2008-09-17,63.0,3.381518
2008-09-17,91.0,3.358328
2008-09-18,7.0,4.395905
2008-09-18,14.0,4.23581
2008-09-18,27.0,3.41656
2008-09-18,62.0,3.675913
2008-09-18,90.0,3.681992
2008-09-19,7.0,3.882878
2008-09-19,14.0,3.7424
2008-09-19,26.0,3.358102
2008-09-25,7.0,4.053685
2008-09-25,14.0,3.98291
2008-09-25,20.0,3.897178
2008-09-25,55.0,3.877262
2008-09-25,83.0,3.814222
2008-09-26,7.0,4.02263
2008-09-26,14.0,4.00184
2008-09-26,19.0,3.922919
2008-09-26,54.0,3.787734
2008-09-26,82.0,3.700983
2008-09-29,7.0,3.946233
2008-09-29,14.0,3.973911
2008-09-29,16.0,3.947934
2008-09-29,51.0,3.815363
2008-09-29,79.0,3.699398
2008-09-19,89.0,3.390873
2008-09-22,7.0,3.882878
2008-09-22,14.0,3.694296
2008-09-22,23.0,3.425307
2008-09-22,58.0,3.43205
2008-09-22,86.0,3.410814
2008-09-23,7.0,3.895922
2008-09-30,7.0,4.307092
2008-09-30,14.0,4.273975
2008-09-30,15.0,4.255117
2008-09-30,50.0,4.039218
2008-09-30,78.0,3.904928
2008-09-23,14.0,3.767538
2008-09-23,22.0,3.507379
2008-09-23,57.0,3.60345
2008-09-23,85.0,3.585462
2008-09-24,7.0,3.990953
2008-09-24,14.0,3.894157
2008-09-24,21.0,3.709246
2008-09-24,56.0,3.879741
2008-09-24,84.0,3.870544
